class,review_title
1,Screen Whine from new Palm TX
2,Water wings
1,"beautifully written, terribly boring..."
2,Instructions from a professional builder
2,nice book
2,don't miss a day
2,"""My cousin played the bass"""
2,Brava Renee!
1,On The Rez
2,Buy it--
1,Worst shaver ever made for women
1,Flawed analysis?
1,cheap item
2,Infectious fun through good music
2,Very Nice Looking
1,Do Not Buy
1,cord contacts easily detached
1,"Has some errors, and some areas are way to detailed for what you need for the USMLE"
2,WEIRDED OUT!
2,A Unique Take on Buffet's Style -- Very Insightful
1,Damaged
1,Not helpful
2,Cookwear 4 qt. 3 piece
1,MADE IN CHINA!!!
1,"Funny, you say?!? Eau contraire!"
2,Blades are ok
1,"No, they're not great."
2,Fantastic!!!
2,Great Book. An excellent read.
1,Falsehoods Instead of Truth
2,This lock has successfully resisted attack
1,I received a defective DVD. Have sent three e-mail to seller with no response
1,Why the evidence reveals how he reads the evidence
1,Not Fragrance Free
2,BTNH
1,Please pay attention!
1,"Deluxe Service Cart With Locking Top, 4 Drawers and extra storage - Black"
2,Mr.Shaw does not appear to hold back...
1,This phone sucks
2,Near-Flawless Season
2,Very nice exposure to South Asian musical heritage
1,Where the legend began
1,Good Ones
1,I hated it (sorry!)
1,not a good movie
2,A hit!
2,"Great movies, great condition"
2,Love it
1,and don't buy this one either
1,A mediocre at best survival horror game
1,Rubbish
1,Great easy to use
1,Bad
2,Good read
1,Dont be tricked by only one good track!
2,Nice little whistling kettle
2,Not a changing table
1,Cold war propaganda
2,"Very Refreshing, good to see African Americans portrayed decently"
1,"Historically inaccurate, awful"
1,CARLOS SANTANA MAKE'S A GUEST SPOT ON HIS NEW DREADFUL CD
1,"HORRIBLE, HORRIBLE, HORRIBLE."
1,Disappointed
1,Not what is advertised.
2,This ia a must buy for any one who enjoys ballads and rythm.
2,I've seen it a thousand times -- literally!
2,"Centerpin Secrets....true, true"
2,Forgotten But Not Forgettable
2,Awesome
1,Deluded perception
2,Great PC Speakers
2,Multi colored Chili Pepper Lights
2,Excellent vocals --- Excellent songwriters
2,Great
1,Poor build quality
2,Leading through transparent communication
2,A Good Magazine for Men
1,I don't get it...
2,Jamie Jones
2,mounting system
2,One huge surprise.
2,Joplin's Best Live CD
1,This book is boring!
2,Treasure Buddies is a treasure!
1,The Worst Kitchen Tool I've Ever Used
2,Awesome book..
2,Morrell does it again!
1,You have to know Latin grammar to use this dictionary
1,Crap
1,printable not wearable
2,"Fun, spooky mystery"
1,lame booty mix
2,My Teenage Son Thought It Was Great!
1,A terrible followup to Ender's Game's magnificence
1,wanted to like it.. but cant
1,Rob
2,Fab-u-lous!!!!!!!!!! :D
1,Dr Fred palmers skin bleach
2,Es cierto...
1,Not 1-6
2,"unforgettable, a 'people' movie"
2,This album is sheer genius!!!
2,no complaints
2,Funny
1,meg cabot's mediator
2,Awesome series
2,Doubles as a heat lamp...is that a good thing?
1,"A stilted, vapid effort. Very disappointing."
2,Solid Collection of American Songs
2,Adventures everywhere!
2,"Watch out Cameron Diaz, here's an actress who can sing!"
2,Love all the included videos but...
1,Where's the action?
2,Great guy for Japanese tattoo enthusiast
2,good introductory-level text
2,Masterful work.
1,The last 3 pages of this book ruin the entire experience
1,An attack on masculinity disguised as an attack on logic
1,returned it
2,A book by an E.C. fan with insight and taste
2,Gave me a year and a month :)
2,Jack Benny One of the best comedian's of all time
2,excellent
2,exalent rock album
1,Dissapointed
2,Perfect for....
1,"Like Re-Animator, Only Less So"
1,Celestron NexImage
1,Disappointed
2,"very attractive, sturdy bar"
2,Despicable Me
2,"Enoch, walking with God, angels, fallen angels, watchers"
1,book review
2,Superb Product!
2,Excellent
1,Great Idea! Bad Product!
2,five stars
2,Excellent present for Dad
1,"buy for graphics, NOT reflective qualities"
1,Really not good
1,Total ... ...
1,"Unusable, cap not working"
1,Fell apart after 3 weeks of use
1,Not worth the price
1,Too Technical. Good for Students maybe...
1,We don't like this walker very much...
1,A Big Disappointment
2,"Nice presentation, excellent writing"
1,Totally disappointing
1,Worst Creed To Date
2,Ordering was simple; delivery time was excellent!
1,False Advertising
2,Excellent overview of the women's movement
2,Fun across generations
2,Vibrant Puppy
1,A Really Bad Movie!!!
1,Think twice before buying Turbotax
2,loves his duck
2,Dancing's the best!
1,Synopsis of Book is in error
2,Simple story enhanced with fine art.
1,FAUST love of the bad production.
2,Great Price
1,Broke immediately
1,This book is very boring .
1,not bad for some tlc wannabes
1,Does not work with blackberry 2.5 mm interface
2,johnny cash t-shirt
1,REAL pricey for the poor quality........
2,"forget ""vapid"""
1,so lame
1,I was bored!
2,Ah-mazing
1,weakest of the series....
1,i never receved the item
1,Poor components and poorer rules!
2,Works like a charm
1,The worst major film of all time?
1,"ok, but not the best.....or newhere near it"
1,Punishingly dull
1,You can read all these clues for free online.
2,My Guinea Pigs Loved It!
1,Who the hell does she think she is??????
1,Napoleon Dynamite - 002-4607518-3456042
2,love it but 4 stars not 5
2,Good Stuff
1,Book Content is Great… book itself damaged
1,Don't waste your money!!!!!
2,And here I thought I hated Drow
2,The best historical romance published in a very long time!
1,DO NOT BUY THIS !!!
2,good read
2,Excellent for the price!
2,"""Wild Hearts Can't Be Broken"""
2,Great Porcini Mushrooms
2,"Simply, an amazing product."
2,Arrived in-time and working
1,author is excellent at public safety
1,Nothing special - and identical to Arthur Bryant's!
2,Much needed inspiration
2,Best of BJ Thomas Gospel: Live CD
1,Don't Fall for All the Praise...
2,An enchanting bedtime poem that children love
2,A must read for every Catholic
1,Death of the DVD
2,Filmic Metaphor: Seeing Ourselves In Our Movies
2,In A Tie With NIGHT MOVES And STRANGER IN TOWN For Seger's Best
1,kittrich shelf paper
1,KRUPS FME 214
2,Very musical and adventurist
1,Car sick
2,Daughtry
1,Way over-priced --
1,Instructions would be nice
2,"Absorbing, well-written gripper . . ."
1,VERY POOR GAME
1,Avoid this product - headphone conncection fails!
2,"Unsettling, perhaps, even disturbing - but oh so finely done"
1,Slides after 6 months
2,A Must-Have for Groups
1,Very weak science
2,Good List of Job Descriptions
1,Terrible!
1,didnt really work
2,Best Sign Language Video for ALL
1,Falls Apart
1,One of the worst of all time
1,What a strange movie
1,A Wrong Choice
2,Excellent reference for christian business ethics
1,lasts maybe 3 days
1,a very boring book
2,That's banishing!
2,"Nice and easy, mostly"
2,this is the best cd in history!!!
1,Poor Value for Price
1,Is it over yet?
2,entertaining
2,This is a good product
1,this product is terrible!
2,Works well for car doors
1,doesn't cut it
1,And the point of this movie was???
1,Kathy is a creep; Lester too
2,Excellent Book for Practice!
1,Beware
1,Crinkly noise repels my cat
2,Eye opening what can be required to stay in the music business for 50 years.
2,"Simple, yet pleasing."
2,Good wine opener
1,Good God! A thousand times no!!
2,Frustrated Castle Tenant
2,Cool guitar!
2,Fantastic preschool art book!
2,Black Hole Gopher Killer!!!!!!
1,Doesnot put out the volume of air cool I was wanting for our small office space
1,Looks lovely but not good for baking
2,Perfect book for novice & know it all.
2,Great book for kids learning about earthquakes and volcanoes
2,Sereno es el album a comprar!
1,DO ALL MARINES HAVE BLUE EYES?
1,Cindy Sheehan's Favorite CD
1,Abominable Snowman movie?????
1,Carbo drinks and jels in Paleo times
1,Heating element died
1,A review of A Tribute to Alicia Keys
1,Remixed trash
1,"Written 13 years ago, very simplistic and outdated."
2,A club you'll want to join....
2,Dave Seaman is Incredible
2,Informative Read.
1,Just plain bad
1,Who let this kid out?!
2,Forget what you know and just have fun.
2,"Alex Paper Roll 12"" x 100 (white)"
1,Do not buy this item
1,Worst self-help book
2,Best knife I have ever owned.
1,Good but has serious error
1,boring - hard to read
2,Wonderful Book
2,Outrageous!
2,CLASSIC DEATH METAL.
1,Life? Where?
1,0 stars
2,GOOD LORD!! THIS IS SOME FUNKY-TIGHT-S**T
1,Beware!!!!
1,sad...changed my review
1,scoop free auto litter box
2,Good impression after two weeks
1,Does not seem to work
1,Not what I was expecting
2,A Grand Synthesis: relax and float downstream
2,Great Book
1,DO NOT BUY!!!
2,"Amazing graphics, imaginative rhymes, compelling overall --"
1,did not get item or tracking number but you took my money
1,no...just no.
2,"Epic, exciting, creative fantasy."
2,Gere and Roberts shine well together
2,Good purchase
2,Fantastic Lens
2,Very intriguing and interesting.
2,Local Hero
1,Flambards a Shambles
2,vision saver
1,"Great Camera, but storage isn't"
2,startling reality check
1,Not for me
1,Grill?
2,New Moon Movie
2,not for beginners
2,Change of Heart
1,"Ordered My Hitiachi From Amazon on December 16th, 2006..."
2,Excellent book for those who love animals and especially horses
2,Love it
2,I cannot live without it now!
2,Possibly a Great phone....BUT...
2,Great simple case
2,Very good beginning.
2,Great Cookware!
2,MAGNIFIQUE!
2,A good supplementary reading to the same title from Phaidon
1,Poorly accumulated and organized examples of success.
2,Excellent book!
2,"3 year old enjoys, 5 year old LOVES, great toy"
1,VOCAL SHORTFALL
2,Good Fun!
1,sorry business practices
1,"Women good, movie terrible."
1,"For a 101 book, it is WAAAAAAY off."
2,The problem is...
2,You're Not in Paris Anymore Amelie
2,How in the world did this band ever slip through the cracks?
1,Very Silly
2,Who Are You People?!
2,Touches your heart
1,Disappointed
1,Slow Start Ruins Entire Movie
2,This game is the fastest game I ever played!
1,Don't waste your money
1,Worst Corey Haim movie ever
2,Good movie for all ages
1,Laplink does not honor license.
2,"I can not add more detail, but go on record when a company does good"
2,A huge hit with my 5 year old!!
2,Very nice measure tape
1,breaks easily - can't fix with replacement parts
1,Poor filtering
1,not funny
2,It Works
1,Cracked in half on second use.
2,The long and winding road
2,A Moore Masterpiece
1,Not written by believers...
1,unorganized
1,Useless - do not buy
2,This was one of the best books I have ever read.
2,Jimmy Rosenberg
1,Lasted 5 minutes.
1,Huh
2,First time Ice Cream maker
2,John Lennon in His Own Write
1,cheap
1,I returned mine today.
1,third time is a charm
1,"frustrating, troublesome, waste of effort, time, money"
1,LEAKED BADLY
2,PLEASE PLEASE PLEASE - Anniversary release????
1,Smells funny.
2,Awesome
2,NOICE
2,"If you have a mother, YOU MUST READ THIS BOOK!"
1,THIS MOVIE IS NOTHING BUT LIES DIMOCK PA RESIDENT
2,Worx
2,Keep writing Jess Walter!
2,The Don Quixote of submarines
2,One happy camper!
1,"This is the best band in the world. However, do not start with this album."
1,not accurate
2,overpriced
2,"""Roddenberry and Hammerstein?"""
1,Call of Duty 3
1,It's ok...but there are better ones
2,Great story
2,Decent transaction
2,"A little known bit of history done well by Director, Robert Redford"
1,Propaganda
2,Pretty good kit!
1,Not exactly what i had expected.
2,Great
1,"Works great, except it will randomly disconect during calls"
1,Piece 'o junk - your money down the drain
2,Gotta tell you to get this!
1,Poor quality casting
2,Great! Won't disappoint.
2,"Energy efficient, highly effective"
2,Classic R & B from one of the genre finest performers
1,Sarah's Key
2,Good Clancy / Ryan yarn
2,A Great Steak Escape!
2,bag music
2,Still Stripping After 25 years by Eleanor Burns
1,"Looks nice, not sturdy"
1,Beautiful lyrics and melodies - somewhere else!
1,Not the original!!! Same stupid edits I didn't want! Don't buy false advertisement!
2,WHAT CAN I SAY?
2,Wonderful Book
1,The seller of this product
1,Unbelievable plot and unlikable characters!
2,Stellar Attraction
1,A New World Disordered
2,The only way to buy Microsoft Points!
1,dont buy no please dont waste your money
2,Always a pleasant surprise
2,Go Back To Silent Force
1,Checkmate your opponent!
1,tantalizing idea poorly executed
2,Oil Crisis Thriller
1,Stories are Not Edited Well
1,Doesn't cut it
1,What an Embarassing Mess
1,Quite Disapointed
1,Waste of time and money.
1,Waste of money.
2,THE BREAKS
1,Terrible!
2,Great movie
2,Great Movie
1,high quality sprayer
2,Successfully using these clippers on my Persian cat
1,Great game if you are a racing engineer or professional driver.
1,caution: may not work with iphone
2,Nice movies about the Siberian Tigers
2,Essential Voyager Viewing
2,Definitely worth it
1,On Reprinted editions
1,Wasted effort.
2,LOVE THIS
1,Wrong sizing and inconsistent sizing
2,Hunting season
2,Christina
2,Campy...very campy...you'll eat it up!!!
2,I love it
2,Don't see Pelican live....
2,Good for Intermediate or Advanced
1,Stay away from 5th Edition
2,"IF YOU WANT A GOOD TIME, THIS IS IT!"
2,Klein on Lessing
1,Buyer Beware
1,A good manual for abusing your child
1,disturbing...
1,Shoud be Francis's Apology
1,Some dvd players can't read the printable version of this brand.
1,DO NOT WASTE MONEY!
1,WORST GAME EVER
2,Literally changed my life
2,"So, what is real globalization?"
1,Not What You Expected
1,May have been good in its day
1,Rip off
1,Mistakes and Questionable Assumptions
1,"Very poor writing, not typical Rollins"
2,The Sun Also Rises
2,Captivating Espionage
1,Does not stay on curved track.
1,not in English
2,Informative history of man-made diamond
2,Favorite Cookbook!
2,A book that makes you smile and think
2,great movie
2,moving and intelligent
1,Ring the Alarm: Beyond Say it ain't So
2,Ellis Founding Brothers segment
2,Mr. Magoos Chistmas carol
2,Messy But Worth It!
2,creative action all over
1,Very biased
1,Don't buy this collar!
1,"Stephen, how could you?!?"
1,Don't bother
1,The Same Book As Emotional Intelligence
1,Don't buy this
2,all I can say is WOW!
2,Samsung TV Receiver
2,Nice Product!
1,no bubbles
2,"To Infinity and -- well, you know the rest"
2,I GUESS IT REALLY WASN'T THE END AFTER ALL
2,Most amazing game!
2,You Can Be Rich By Thursday
2,Great Arthurian Romance
2,Delightfuly Fresh
1,Prefer the BX-10
1,This is NOT the new iPod
2,Bad Code
2,Bodyguard from Beijing
1,very disappointed
1,Flawed
2,Another classic from the G-Funk King himself!
2,Christmas Trilogy is a Thrillogy
1,They should be ashamed
1,Don't waste your money!
1,WARNING. Most recipes NOT top-rated.
2,Actron CP9145 Super AutoScanner
2,Problem solved
1,stupid
2,"Great bargain, mostly works"
1,I'm Sorry
1,Not worth the money
2,The Harry we know and love!
2,great
1,What The Heck?
2,A MUST HAVE FOR ANY RADIOHEAD FAN!!!!
1,"If you love a happy ending, season 3 is NOT for you !"
1,ROASTED ALMOND GRANOLA BAR
1,Nutrition advice at its worst
1,"I was 16, not 32; it was heart disease, not cancer."
2,At last - a fine collection of the good old band
1,Excellent Education Technique
2,Emotional grabber
2,BELKIN FOLIO CASE REVIEW
2,Fun Album
2,The Only Thing Better Would be a Real CART Car Ride
2,mis en bouche
2,Delicious and Beautiful
1,Poor effort by a copycat band
1,It is wrong to sell library books that are still in circulation!
2,This album is tight
1,Unrated
1,Unabridged -- unless you count the NINE missing stories
1,Cats won't eat them
1,Disappointing --- Old Material Recycled!!!!
1,Don't waste your money
2,Great Writing
2,A Wonderful Trip down the Electronic Memory Lane
2,Quality Plug
2,"Great for walking, running, driving, even on a plane!"
2,Fantastic value!
2,combined w/ no shotgun i get pumped!
1,This movie's not a real miracle!
2,A cozy read
2,Mixfit Mindz Is off the Chain!!
2,This fabulous CD is simply entrancing...
2,Good vs. Evil
1,It only works once
2,Not What You Think
2,Pure excellence!
2,Crystal Planet
2,"Joe Maphis, Merle Travis Country Music's Two guitar greats."
2,Best book I have read all year!
1,Stupid Things Dr. Laura did with her book...
2,Very pleased!
1,Awful for bike riding
1,This is not fair!!!
1,Mediocre beyond words
1,"If you know any HTML, don't but this book"
1,DESIGN FLAW - bunches up in the back
1,Did not agree with the premise the book is based on
1,Schwinn Fitness 212
1,Sad Ending To A Great Career
1,No signal in my area - Had to return it.
2,New Renaissance in Russian art song genre
1,Mediocre at best...
1,******DONT RENT NOR BUY THIS MOVIE*************
1,Poor customer service-Zojirushi
1,Not recommended!
2,I still don't know why I love this album
1,"Don't Even Bother,......"
1,Good stuff bad package
2,A Great Lesson on the Dangers of Prejudice for Children and Adults
1,Ewwww.....
2,Always look for a deal
1,What happened to Metallica?
2,A guilty pleasure
2,A workout that really makes you sweat!
2,Just watch it!!!
1,"Oh, please"
2,for daughter
1,Lack of Citations
2,A Simply Wonderful Tool
1,I couldn't put it together!!
1,Coulda been...but lacks polish
1,New Book that was NOT a new Book
2,Fantastic!! Apl reppin for dem filippinOs!!
2,Best Book EVER!!
2,Pretty Good Stuff
2,excellent
2,Makes the connection
1,This is a work of fiction
1,Light Duty Use Only
1,Disastrously Disappointing
1,Poor packing
1,Disappointment
1,So boring
1,"When it works, it's great! When it doesn't, well......."
2,Simpsons! Halloween!
2,Sassy Satire with Heart
2,Great
2,Good Common Sense Book
2,I miss Esther...
1,This is Trash.....
2,Phobias brought to life...
1,will not play !!!
1,Irresponsible and Unconvincing
1,Shockingly Disappointing
1,Amazon recommended this cable
1,non-pan and non-scan
1,Not worth it-check the size
1,"If you like small peanuts, this is your brand"
1,IF Heartbeat Reggae is dead...
2,gran disco del cuarteto de nos
1,Excellent Musicians' Work Ruined by Poor Reproduction
1,not complete set just dummy knob
2,Excellent Book
2,A nice fryer for the price
2,wicked +
1,"Artifical, overwhelming, tangy. More like a cheap perfume"
1,"Boring , Obvious and predictable"
1,Who's the Dummy?
2,Great Watch!!!
2,the kensington pilotboard
1,Buy a mercury Thermo for accuracy ...
2,This is the pop/rock album worth listening to.
1,Extremely Cheap Quality!!!
2,This cds awesome
2,"Awesome, just never listen to track 10"
1,BEL has VERY poor customer service
2,Nice to see this on Amazon
1,Insufficient information in video.
1,Photo
1,Not good enough for beginners
2,Product delivers feeling of fullness
2,"""I always bolt the doors when the sun goes down."""
1,Surprising Disappointment
1,Cut out the picture of dead birds to make the book suitable
2,Must have for people that love to bike!!
2,The best
2,Best print server ever!
2,Shake and bake
2,Very Pleased
2,Good razor
2,bathtub help
2,outstasnding
2,I'd give it 6 stars if I could
2,A LESSON IN LOVING
1,Got one use out of it.
1,Don't buy this version
2,great rapper
1,I'm a baby boomer . . . . .
2,"By far, this is Jack Nicholson's best performace"
1,Save your money
1,Poor product description by amazon.com
2,Enjoyable...Liked the Movie Better
1,Circus Life And Make Believe
2,For the man with the Playboy mud flaps!
2,Perfect right before bed book
2,"Fits, works but it is not the one I ordered."
1,Measure Your Arm First!
2,Mikasa Antique White is great
1,nipple broken
2,Peace is Possible
1,Color stripping and stiffening. My couch ruined
1,"DMB is dead, look elesewhere"
2,Ween - Quebec
1,"Great for a month, then..."
1,Can only be used with full zoom
1,Not what I expected....
2,Cute 'Blonde'
1,Something is wrong here
1,Re: Torn cover
2,Great product - one flaw
1,Junk!!!
1,Unreliable video card - avoid it
2,old standby
1,Great Product and Price but all vitamins were broken!!!!!!
2,This is way too easy!
2,The Party!!!
1,NO BLOOPERS!!!
1,Disappointing
2,great live show from a great band
2,Easy and Good
2,DeWalt Cordless screwdriver review
2,The Only Book on Health Care Security You'll Ever Need
1,Words of Harm
1,"Great Concept, but not very interesting"
2,House keeps getting better
2,Maysa!!! If you don't know than you ain't Livin
2,Rosetta Hightower Is The Best !
1,Unbox -- Three strikes and you're out!
1,Disappointed
2,So pretty.
2,"The last show of the ""Backyard Gang"" and Kathy's first show!"
2,Bittersweet and sensitive look at growing up as a boy
1,"Bertie needs counseling, not a dog"
1,"Book is Public Domain, Available Free Online"
2,so so
1,"Okay story, poor quality"
1,"Good chance it won't work, go with the regular ept, 0 stars"
1,Only the name is the same
2,healthy product
1,"Present conflict, but too lengthy"
2,"some wonderful insights, well told"
2,4 1/2 stars
2,Great intro into opera
2,Only one problem with the backgammon set
2,Mr. Major
1,Does Not Fit The CGR D16
1,Not happy at all
1,Not useful at all!
2,Original and highly entertaining.
2,Fun and lightweight read
2,Happy Unintentional Purchase
2,"This book is for everyone, not just girls in their teens."
2,Fantastic memories...
1,Attention anyone under 65 years old....
2,Great fan
1,Eating out is dreadful
2,Love it!
2,A Creative collaboration
1,Is Brother really that bad?
2,Better than Keurig
1,Never Got One That Worked
2,great returns cartoon from 1989
2,They're Back!!!
1,Horrible
2,The best bra I've ever owned!
2,Prometheus
1,I wish I could give this ZERO stars....
1,NOT MUCH TO ROAR ABOUT
1,Reckless and rotten book for kids
2,Quality shoe trees
2,Beautiful Addition to Nativity Scene
2,i love it
2,A must for hard house fans
2,"Cute, quirky"
1,My conversation with Fred Durst
2,Great Knife
1,Disappointing Christmas Present
1,The Complete Book Of Finches And Softbills
1,Memories?
1,NOT GOOD >:(
2,GREAT Reading For Our Future Capitalists
2,An Interesting Read
2,it's like meeting an old friend
1,"Truly, Stunningly Horrible!"
2,Works for small hands
2,"Simple, Light, Great"
1,wimpy spatula
2,As listed
2,Great book for a developer's first JSP pages
2,Very Rad!
2,It works very well...
2,Good stuff
1,Meh.
2,I can't believe that Drew had such a horrible childhood!
1,The book that never arrived
2,Seems to work
2,A Useful Work
1,bait and switch
1,Audio out of sync with video
2,easy solution
2,Very Appealing
1,major design flaw
2,Lions of the Kalhari
1,An okay item for a beginner
2,Dracula
2,so great
2,Even more brilliant
2,Superb!
2,Much Better than Win98SE
1,More fiction than fact
1,Tarrant's Greek and Latin Lyric Poetry
2,Awesome Prenatal Workout!
2,Excellent pot!
1,Kipper-Let it Snow
1,Tabloid Trash
1,Available for Free on Web
1,Yet Another Book On Basic Holdem Strategy
1,disappointed
1,Very dissappointing
1,Keeps falling apart
1,Not For Me
2,Ridgeline
2,romantic
2,Flawless Recording!!
2,Go Kart- Racing Genre!
2,REBELDE
2,Agassiz(Anatomy of the Ship)
2,Can't get better!
1,Slogging through Hindi
2,Just like the others say
1,"I loved the concept, but hate the seat!"
2,Perfect for reading to kindergartner
2,Great Digital SLR
2,Michael's Review
1,A departure
2,Great Game
2,Tragic Police Procedures
1,Poor Sound - ok for light listening
2,My first filter
2,A powerful woman's jewel
1,Time Changes Facts?
2,All positive reviews are TRUE!
2,Don't tell my friends you saw me rate this movie!
2,What Travelers Need
1,Yawn.....
1,A real waste of time
1,Not Impressed
1,"Great Book, Horrid CD"
1,Buy a different space heater!
2,U wouldn't expect this sort of quality on a handheld
1,"Poor quality fabric, shrunk WAY more than other Shemaghs"
2,awesome product
1,wow - ! this guy is slow...
2,"This Edition,from acculated individual color movie camera And from GovernmetPropagada Material- Give us Segmenal but Fresh News!"
1,No connection with characters
2,Ruby canisters
1,Why the bashing of the Canadian Health System?...
2,Interesting Free Society meets Sci Fi
2,Wonderful Book
1,"Blurry, Faded, and Flat"
1,"Very Hot Oven, Had to Return It"
2,She was meant to be an idol!!!
1,Who does this guy think he is fooling?
1,Sick
2,Son loved the book.
1,0 STARS: HORRIBLE!!!
1,Great series but what's with the high price
1,Warmed Over Socialism....
1,Stay away from this card!
1,Doesn't work
2,Ms. A. Jolie is an amazing stunt-woman
1,Doesn't work
1,Zero Star
1,Classy - but didn't fit Macbook
2,FURminator review
1,Poor quality
1,Brush came off in my player!
1,ALL ABOUT ROLLERCOASTERS
2,Hands free can opener
2,INCREDIBLE!
1,Un grand coup de marketing!!!!
2,Thrilled!
1,My Ears Glaze Over
1,Hide & Seek Safari
2,Quite possibly the funniest thing I have ever read...
2,All good things come in small packages.
1,HATE IT!
1,"ADD, not PhD"
2,Nice Hunting expierence
1,The 1st episode of the season was awful.. is the entire season like this?
1,not happy in ca.
2,Refreshing
2,Love this stuff
1,Not Sturdy Enough
1,Junk!! 2 monitors died within 3 days...bought at same time!!
1,"earplugs, please?"
2,babylon review
2,cane that will not fall down
1,Utterly worthless
1,Late for Christmas!!!!!!!
2,A book that brings back childhood memories
2,This is one of the best albums you can ever get to hear!
2,Byrds to Chill Out By
2,Food for Thought...
1,"Misspelling on Page 884 ""venajo"" should be ""venaje"""
1,"Do not buy this to go with Champion Power Equipment 46534 4,000 Watt 4-Cycle Gas Powered RV Ready Portable Generator w Wheel Kit"
2,Must reading for pastors and potential pastors
2,The Ultimate Slayer DVD!
1,Unappealing
1,back light does not work
2,What a classic
1,"Excellent book, horrible movie."
1,Piece of Junk
2,DVD Elvis Thats The Way It Is
2,Networking in 5 minutes
2,"Nicholas Sparks, The Rescue"
2,The art of processing language
1,Terrible
2,My favorite of the series yet
2,The end of the end starts here.
1,Terrible
1,Might last a year - if you're lucky.
1,"Price was right, thermometer was wrong"
2,I never ordered this but get to review it anyway!
1,Disappointed
2,Calphalon Contemporary Nonstick 2-1/2-Quart Shallow Saucepan with Lid
1,Bottom of the Barrel
2,Great Card Game!!!
1,Too Left For Me!!
1,Not what I was looking for.
2,LOVE IT
1,Didn't perform as advertised
2,A surprising gem amidst the crud
2,Very Sturdy
2,great value
1,Poor Audio
2,Charger for recharable batteries
1,Fits but not perfect
2,decent sound quality for a great price
1,No; buy Symbol of Life
1,YES - LIVE
2,April Morning is a MUST READ for all Americans
1,Cell phone case too small for HTC TYTN
2,Nichelle Communicates A Winner
1,completely unconvincing
2,We love our kid-size Aerobeds
2,one of the most original comedians around!
2,Christina does it again
1,Not good
2,Entertaining and well done even if it's from a book
2,my 2nd fav. by her
1,Beware!!!
2,The Secret
1,"He dribbles, he shoots... and it's in!"
2,Only real choice on the market
2,Water for Elephants; a Novel
2,"Great Fit, Great Product"
1,Really Starting to Slip
2,Better then anything you'd expect in 2007
1,Not real
1,Sickness bag needed
2,Delicious rip-off
2,nice cashmere scarf
1,Aquafresh White Trays Slip & Slide
1,"One star review for the product, not the movie"
1,Mediocre quality
1,Don't be fooled into this one
1,condition of doll
2,excellent product
1,Item do not respect the annoucement on the publicity
1,So-so
1,Lame
1,Quality control is suffering; scroll ring sticks
2,Best overall Package
1,What a waste
1,Completely Terrible !
2,haunting
1,This Book Is Unreal
2,best available study guide
2,Great as a starting point in training your pet.
2,A Timeless Love Story
1,No understanding of the Catholic Church
1,nothing good
2,This is a tight cd He is back and better than ever!!
2,"Revenge is sweeter than life, so think fools"
1,unacceptable
1,This reprint edition is bad
2,Really Classy Coaster Set
1,I was not impressed
1,*sigh*
2,52 bottles of beer on the wall 52 bottles of beer
2,Good book to read to understand your neckpain symptom
1,What are you people talking about?
2,"A very nice follow-up to his breakout album ""Confesiones"""
2,love this movie
2,Best price
1,I HATE THIS TUB!
1,Decent CD but BEWARE!!!
2,Great 60s Scifi
2,"Good/Great, Better than most of the Garbage Out There"
1,Dissapointed
2,nice pop ups
1,Bad Tea Ball!
2,Melissa and Doug for Imaginative Play
2,Corduroy are the best
1,Have Yet To Receive My Purchase
1,Awful stuff
1,Not what I expected.
2,"...go read, don't be afraid"
1,Interesting as film history
2,Offers you a chance to put a smile on your face daily
2,Cheaper Elsewhere!
2,Best So Far
1,A hard to understand explanation of a religious practice.
1,A Disappointment
2,Jolie deserved an award
2,Tanya Stephens music is great
2,A living Legend
1,Well written but that's about it
2,Yummy
1,Second to Unreal Tournament
1,Simply Deep - Not Deep Enough
1,A disgrace
2,Worked for us
2,ONE OF THE GREATEST ALBUMS EVER!
2,Comprehensible and helpful
1,below average product
1,Why change something when it works
1,We don't all fit this mold.
1,Just don't understand why everyone loved it.
1,It sucks!
1,Hmmmm...
2,Great Buy for a Great Product
2,Intense Emotional and Sensual Suspenseful
2,A wonderful collection of stories!
2,Perfect for busty ladies
2,Scary as hell . . .
1,NOT REMASTERED
1,very very disapointing
1,Bad packaging...
2,Teacher Man
1,It SUCKS!!!
1,Not Worth The Money
1,THE worst toaster in the history of toasters!
2,Symphonic Jean-Michel Jarre is Veru Good
1,What a sick author
2,awesome!
1,Great concept but unreliable
1,Terrible background static!
2,Traveling Boxers....
1,I couldn't even finish this book!
1,Defective - two of these Xtreme quit working
2,Sleeping without Mosquitos...heavenly!
2,not bad
1,how disappointing...
1,Sky Scan stopped working
1,No Improvement
2,a good addition to my existing costume.
1,Worst Product Ever! Do Not Buy!
1,Like reading a rough draft; very forgetable
2,What a trip down memory lane!
2,Get the Cool Shoe-Shine!
1,LEAKS
1,LP needs to redesign their bags' closures
1,wake up
1,New Zip Wax?
1,eh.
2,"A Surprisingly Good, Readable Book"
1,Mr. Alten can't write
2,Nice and Easy
2,Awesome
1,A disappointment.
2,Excllent story shared with my 8 year old
1,Do not buy this DVD It pretends to be science it is religion pure and simple
2,Inspirational
2,One of the best books we own
2,Goodnight Moon w/Bunny
2,The Best Rock Opera Ever
2,Useful Item
1,Guide to Flowering Plant Families by Wendy B. Zomlefer [Paperback]
